Name,Service / Project,Service in folder,Website,Email,Main Tag,Second Tag,Third Tag ,Timings ,Who's it for?,Location,Notes,,,,,,,,,,,,,,,,,,,
Mind Supported Self Help,"Free, 6-week phone guided programme to manage feelings. With homework and weekly supportive calls. ",,Self referral: https://www.mind.org.uk/get-involved/supported-self-help/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind TH ,"Walk, Talk and Snap ",,"Walk, Talk & Snap- re-start poster 2024 (2).jpg",,Exercise,Social Isolation,Social,,"All feeling isolated, in need for human connection,",start at E3 4DA ,,,,,,,,,,,,,,,,,,,,
Mind TH ,Weekly community coffee time at a cafe ,,,,Group,Social Isolation,Group,,"All feeling isolated, in need for human connection ",E3 4DA,,,,,,,,,,,,,,,,,,,,
Mind the Music Project ,1:2:1 session using music to improve mental health ,,,hannah@communitymusic.biz,Fine Arts,Mental Health,Youth,,Up to 25yrs ,E1 5HU ,I think this project has stopped. can you email them to check?,,,,,,,,,,,,,,,,,,,
Mission Practice Chaplaincy,chat and support for issues by chaplains,No,,k.erickson@nhs.net,Advice,,,,All,,,,,,,,,,,,,,,,,,,,,
MMH Peer Support,Pregnancy loss/trauma support,,relationshipsdata.typeform.com/to/LbompRSh,,Pregnancy,Mental Health,Trauma,,All,-,,,,,,,,,,,,,,,,,,,,
More Life Home,,,More Life Home,,Furniture,Moving,Transport,,,,,,,,,,,,,,,,,,,,,,,
Mouth That Roars,,,mouththatroars.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move and stretch,Free female exercise classes ,,www.trappedinzoneone.com/projects/move-and-stretch?goal=0_36049a30af-c496b59a9c-358990398&mc_cid=c496b59a9c&mc_eid=229f988cbb,,Exercise,Women,Free,,18+ female,E14 0XA,,,,,,,,,,,,,,,,,,,,
M-PACT,Support for families affected by parental substance misuse ,,forms.office.com/pages/responsepage.aspx?id=3LyvUBZJWkS7wVBP0GO2cXZMeDJVe2RDhmjb7w1faTNUQzU1V0pQS1NOREdETVhYU0NFMkZSQlQxTi4u,,Child,Substance Misuse,Family,,Families with 1+ 8-17 yrs affected  by parental substance misuse,TH ,,,,,,,,,,,,,,,,,,,,
MRS Independent Living,Wellbeing and practical support,,www.mrsindependentliving.org/,,Wellness,Practical Help,Housing,,Those needing support with independent living ,Support dependent ,,,,,,,,,,,,,,,,,,,,
Music for my Mind,Creates personalised playlist for those with dementia,,www.musicformymind.com,,Dementia,Fine Arts,online resource,,All with dementia ,Online/App,,,,,,,,,,,,,,,,,,,,
Mybody back,,,My Body Back Project - Rape and sexual assault support in London,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namaste Care,Free advanced dementia care ,,www.stjh.org.uk/volunteer/volunteer-opportunities/namaste-care-service-volunteer/,,Dementia,Practical Help,Free,,Dementia patients ,E8 4SA,,,,,,,,,,,,,,,,,,,,
Namaste Care volunteering,Volunteering for dementia care ,,,,Dementia,Volunteering,Wellness,,18+ yrs ,E8 4SA,,,,,,,,,,,,,,,,,,,,
National Autistic Society ,Employment support ,,www.autism.org.uk/,,Employment,ASD,Advice,,"Those with autism looking for employment, imporve prospects ",-,,,,,,,,,,,,,,,,,,,,
National Autistic Society ,guidance and info for autism and support provided individually and to families ,,www.autism.org.uk/,,ASD,online resource,Advice,,All,-,I thought NAS did offer more than only supporting Parents of autistic children experiencing eating difficulties,,,,,,,,,,,,,,,,,,,
National Autistic society ,"Residential Services , supported living ",,www.autism.org.uk/,,Practical Help,ASD,Learning Disability/Difficulty,,Adults with autism ,-,,,,,,,,,,,,,,,,,,,,
National Saturday Club,Free courses for young people ,,saturday-club.org/map/,,Courses,Youth,Free,,13-16 yrs ,Club dependent ,,,,,,,,,,,,,,,,,,,,
Natural Connection,"Gentle yoga, English, well being sessions",No,"esther.bissessar@nhs.net, sally@naturalconnection.org.uk",,,Women,,Wednesday(10-12am),Refugee and migrant women,"Mission Practice, 208 Cambridge Heath Rd E2",,,,,,,,,,,,,,,,,,,,
NCS,5 day programmes away from home,,wearencs.com/head-away-from-home,,Youth,Group,Youth,,16-17 yrs ,Programme dependent,,,,,,,,,,,,,,,,,,,,
New data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark Youth London ,Online Girls fitness session ,,,,Exercise,Girls,Online,Monday 5PM ,Girls 11- 19 ,Online ,,,,,,,,,,,,,,,,,,,,
Newark Youth London ,Online Women's fitness session ,,,,Exercise,Women,Online,Tuesday 6PM,Women  ,Online ,,,,,,,,,,,,,,,,,,,,
Newark Youth London ,Womens walking group  ,, +44 7958479676,,Women,Exercise,Group,Thursday 9:30-11:30 am ,"Women wanting social support, imporve health ",Blue Gate fields Junior School ,,,,,,,,,,,,,,,,,,,,
Next Steps (Half Moon Theatre),Support with yr6-yr7 school transition and free workshops and summer school,,Next Steps - Half Moon Theatre | School Transition Programmes,,Child,Practical Help,Low Cost,,11-12 yrs,TH ,,,,,,,,,,,,,,,,,,,,
Nextdoor Neighbour app,App connecting Neighbours for activities ,,nextdoor.co.uk/#neighbors,,Social,Social Isolation,Online,,All,- ,,,,,,,,,,,,,,,,,,,,
NHS Better Health  ,Improving health programme,,www.nhs.uk/better-health/,,NHS,Courses,Health Problems ,,All,Online,,,,,,,,,,,,,,,,,,,,
NHS East London ,perinatal support for birth/pregnancy trauma ,,"www.elft.nhs.uk/services/ocean-mental-health-service-east-london?dm_t=0,0,0,0,0",,Pregnancy,Mental Health,Women,,women who have suffered pregnancy related trauma or loss/ severe fear of childbirth ,"TH, Hackney,",,,,,,,,,,,,,,,,,,,,
NHS TH Talking Therapies ,Online webinar support disrupted sleep for new parents ,,www.elft.nhs.uk/tower-hamlets-talking-therapies,,Mums,Online,Sleep,,"new mothers, parents with sleep difficulties ",Online ,,,,,,,,,,,,,,,,,,,,
NIA,,,niaendingviolence.org.uk/get-help/prostitution/,,Sexual Health,Counselling,Women,,Women,-,,,,,,,,,,,,,,,,,,,,
North-East London Key working Service ,NHS key working for children with LD ,,,keyworking@nelft.nhs.uk or Gabriela.Kosmaczewska@nelft.nhs.uk or Gemma.Walker@nelft.nhs.uk ,Keyworker,NHS,Learning Disability/Difficulty,,0-25 with LD,North East London ,,,,,,,,,,,,,,,,,,,,
NOUR,Support for people who have suffered abuse ,,www.nour-dv.org.uk/,,Abuse,Trauma,Mental Health,,"All who have experienced abuse (DV, childhood, SA etc.)",N9 1BT,,,,,,,,,,,,,,,,,,,,
Ocean Youth Connexions,Taekwondo sessions,,oceanyc.org/taekwondo-sessions/,,Exercise,Group,Child,,5-19 yrs ,E1 (Session dependent) ,,,,,,,,,,,,,,,,,,,,
Osmani Trust ,"Breaking the cycle, Changing Futures and Amaal Girls Group ",,Projects | Osmani Trust,,BAME women,Girls,Multi-Purpose,,women of colour 8-25,E1 5AW,,,,,,,,,,,,,,,,,,,,
Osmani We Care ,Mental Health support ,,www.osmanitrust.org/aims-objectives/projects/wecare/,,Mental Health,Advice,Counselling,,12-17 yrs and 18+ ,E1 5AW,,,,,,,,,,,,,,,,,,,,
Our Parks,Various exercise classes (online and in person) ,,ourparks.org.uk/classes,,Exercise,Group,Social,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",All,TW- class dependent,,,,,,,,,,,,,,,,,,,,
Outside Edge Theatre Company ,Drama and creative writing workshops,Yes,http://edgetc.org/,admin@edgetc.org,Fine Arts,Substance Misuse,adults,Every Tuesday( 3.30pm-5.30 pm and 6.30pm-8.30 pm),Adults affected by addiction ,"Brady Arts & Community Centre, 192-196 Hansbury St, E1 5HU",,,,,,,,,,,,,,,,,,,,
Overeaters Anonymous,Support with food (specifically those with no control over food) ,,oa.org/find-a-meeting/?type=0&country=Other&city=London%20(Shadwell)&other_country=England&sort=Assistances=25&lat=51.531103&longit=-0.0480805&limit=20&paged=1&submit=true,,Eating Disorders,Advice,Mental Health,,All with eating disorders ,Dependent on meeting,,,,,,,,,,,,,,,,,,,,
Oxford House,"Arts and heritage activities, volunteering programmes, cafe and gallery",,www.oxfordhouse.org.uk/,,Multi-Purpose,Social,Fine Arts,,All,E2 6HG,,,,,,,,,,,,,,,,,,,,
Park Run Family ,community walks/runs for adults and children ,,www.parkrun.org.uk,,Exercise,Social,Family,,All ,Mile end Park ,,,,,,,,,,,,,,,,,,,,
Parkrun,Park run ,,www.parkrun.org.uk/,,Exercise,Social,Group,,All,Mile End Park/ Hackney Marshes Park,,,,,,,,,,,,,,,,,,,,
Peabody,Floating Support,,Peabody,,Keyworker,Housing,Form filling,,,,,,,,,,,,,,,,,,,,,,,
Peabody,Sundial Centre,,www.peabody.org.uk/neighbourhoods/sundial-centre/,,Senior,Group,Practical Help,,Elderly people,E2 7RU,,,,,,,,,,,,,,,,,,,,
Peddle My Wheels,Try before you buy & Second hand bike markets,,https://www.peddlemywheels.com/,,Exercise,Wellness,Cost of Living,,All,,,,,,,,,,,,,,,,,,,,,
Personal growth and Development Centre ,Low cost and couples therapy (Croydon only) ,,thepgdc.co.uk/ourservices/low-cost-counselling/,,Counselling,couple/marriage,Low Cost,,All,Croydon,,,,,,,,,,,,,,,,,,,,
Personal injury clinic,Free legal advice on personal injury claims,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Bedford Housing Association ,Well-being and training programmes ,,www.peterbedford.org.uk/learn/training/,,Courses,Wellness,Training,,Programme dependent,E8 4DG,,,,,,,,,,,,,,,,,,,,
Philadelphia Association ,Affordable psychotherapy ,,www.philadelphia-association.org.uk/therapy,,Mental Health,Low Cost,Wellness,,All,-,,,,,,,,,,,,,,,,,,,,
Providence row,Supporting people affected by homelessness,No,https://www.providencerow.org.uk/,info@providencerow.org.uk,Advice,Wellness,,,All,"The Dellow Centre, 82 Wentworth Street, London, E1 7SA.",,,,,,,,,,,,,,,,,,,,
Pink Law,Advice on family and immigration matters for LGBTQA+ members,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,LGBTQ+,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar Union,Martial Arts Youth Class,,,,Youth,Exercise,Fine Arts,,Al (POP nights 18+),E14 6TL,,,,,,,,,,,,,,,,,,,,
PopLaw,Free legal advice Clinics,No,,poplawadvisor@poplaw.org.uk,,1to1,Free,,All,,,,,,,,,,,,,,,,,,,,,
Praxis,Advice and support for migrants and refugees ,,www.praxis.org.uk/,,Refugee,Advice,Mental Health,,Migrants and Refugees,E2 0EF,,,,,,,,,,,,,,,,,,,,
Pre-Apprenticeship Programme,Support for securing a apprenticeship role,No,hello@wearebreakthrough.org,,,,Peer Support,,Students,,,,,,,,,,,,,,,,,,,,,
Prescription prepayment certificate,Prepayment for prescriptions ,,www.nhsbsa.nhs.uk/help-nhs-prescription-costs/nhs-prescription-prepayment-certificate-ppc,,Health Problems ,Finances,Cost of Living,,All,Online ,,,,,,,,,,,,,,,,,,,,
Pride together,Befriending progammes,,,befriending@elop.org,LGBTQ+,Befriending,Social,,LGBTQ+ ,Email for info,,,,,,,,,,,,,,,,,,,,
Priory,Therapy for Depression ,,www.priorygroup.com/landing-ppc-campaign/greater-london-depression?gclsrc=aw.ds&gclid=EAIaIQobChMI_I3K_9n9hAMViy0GAB2h4gDEEAAYASAAEgLeOvD_BwE&gclsrc=aw.ds,,Depression,Counselling,Mental Health,,All (can't find cost- think quite expensive) ,Clinic dependent,,,,,,,,,,,,,,,,,,,,
Professional Aid Guild,Financial help for professionals/graduates/children in school needing extra help,,www.pcac.org.uk/,,Finances,Child,Parenting,,Professionals/graduates/parents of children ,SE1 4YR,,,,,,,,,,,,,,,,,,,,
Psychosynthesis Trust,Low cost counselling and psychotherapy ,,psychosynthesistrust.org.uk/counselling/,,Counselling,Mental Health,Low Cost,,All,SE1 2TH,,,,,,,,,,,,,,,,,,,,
Pulse Social,Sport club for disabled children,,,info@pulsesocial.co.uk,ASD,Disability,Child,,Deaf/disabled/neurodivergent children 10-17 yrs ,E15BA ,,,,,,,,,,,,,,,,,,,,
Radojunkie ,Boxing for young people,,www.radojunkie.com/,,Youth,Exercise,Social,,4-25 yrs,E3 5JL,,,,,,,,,,,,,,,,,,,,
Read Easy,Helping adults learn to read,No,readeasy.org.uk,thnetworker@readeasy.org.uk,,Adults,Free,,,,,,,,,,,,,,,,,,,,,,,
Real,Advice and support by and for people with disabilities,,http://www.real.org.uk,,Disability,Advice,Practical Help,,Disabled people in TH,-,,,,,,,,,,,,,,,,,,,,
Recovery College,Educational courses for those with mental health difficulties ,,www.elft.nhs.uk/user/login?destination=/tower-hamlets-recovery-college,,Courses,Mental Health,Wellness,,All,E1 5NN,,,,,,,,,,,,,,,,,,,,
Reed Refugee Employability Programme,Individual support to help refugees improve English and Career skills,,www.repreedinpartnership.co.uk,,Refugee,1to1,Employment,,,,,,,,,,,,,,,,,,,,,,,
Refugee group @ Bethnal Green library,Community group for refugees,,"www.ideastore.co.uk/visit-us/bethnal-green-library#:~:text=Refugee%20Group,with%20the%20occasional%20guest%20speaker.",,Refugee,Group,Social,,Refugees,E2 0HL,,,,,,,,,,,,,,,,,,,,
Refugees at Home,Spare room for refugees with a status,,Guest application guide - Refugees at Home,,Refugee,Housing,Asylum,,,,,,,,,,,,,,,,,,,,,,,
Release,Help line and legal advice for drugs ,,www.release.org.uk/helpline,,Legal Advice,Substance Misuse,Helpline,,All,E18AN,,,,,,,,,,,,,,,,,,,,
Renaissance Foundation,3 stage programme for young carers and patients ,,www.renaissance-foundation.com/the-programme,,youth,Carer,Courses,,Young patients/carers age 12-18 yrs ,EC3N 1AB,,,,,,,,,,,,,,,,,,,,
Renew East London,"Gardening service, supportive working community for those who've been homelessness or long-term unemployed",,"RenewEL | Renew East London CIC : landscape gardening in East London | unit 22, 384 Abbott Road, London E14 0UX, UK",,Employment,Homeless,Christian,,,,,,,,,,,,,,,,,,,,,,,
Resettlement and Migration Team,Support migrants,No,Refugee.support@towerhamlets.gov.uk,,Refugee,Peer Support,,Monday - Friday(9am - 5pm),"Refugees, migrants and asylum seekers",,,,,,,,,,,,,,,,,,,,,
Residents Support Scheme ,Emergency help for residential crisis,,www.towerhamlets.gov.uk/lgnl/advice_and_benefits/Residents_Support_Scheme.aspx,,Crisis,Housing,adults,,16+ (not subject to immigration control) ,Online ,,,,,,,,,,,,,,,,,,,,
Respect Men's Advice Line,Helpline for male victims of domestic abuse (Solace will also accept referrals for male victims in TH),,Respect,,DV Domestic Violence,Men,Helpline,,,,,,,,,,,,,,,,,,,,,,,
Re-vision,Low cost therapy  ,,www.counselling-directory.org.uk/counsellors/re-vision-24556,,Counselling,Low Cost,Mental Health,,All,NW6 6RY,,,,,,,,,,,,,,,,,,,,
Rich Mix New Creatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risers Programme at Breadwinners,Work experience for asylum seekers and employment training,,www.breadwinners.org.uk/risers,,Asylum,Employment,Youth,,16-24 Asylum Seekers,London ?,,,,,,,,,,,,,,,,,,,,
Rooted Finance,Financial advice for those with debt ,,debtfreeadvice.com/find-advice-centre/rooted-finance,,Debt,Finances,Benefits Advice,,All,E2 9DA,,,,,,,,,,,,,,,,,,,,
Royal Foundation of St Katharine,"The Yurt Café Poetry Club, Repair Cafe, Knitters Anon, Book Club, Writer's Group",,monthly sessions + booking,,Fine Arts,Social,Low Cost,,"The Royal Foundation of St Katharine, E14 8DS",,,,,,,,,,,,,,,,,,,,,
Royal Foundation of St. Katherine's Yurt Cafe,"Book club, gardening, writing group, knitting, etc.",,www.rfsk.org.uk/yurt-cafe,,Fine Arts,Group,Social,,All,E14 8DS,,,,,,,,,,,,,,,,,,,,
Royal London Hospital,Free prenatal yoga,,"The Mindful Mother, Mon 12:15-13:15 - Baby & Toddler Classes London",,Exercise,Parenting,Free,,Pregnancy registered at Royal London,Whitechapel Sports Centre E1 5BA,,,,,,,,,,,,,,,,,,,,
Run4Rene ,Free weekly running groups in varied locations across London ,,www.run4rene.com/meetups,,Exercise,Group,Free,"Saturday, 10 am ",All ,"Finsbury, Victoria, Greenwich parks ",,,,,,,,,,,,,,,,,,,,
RVS Virtual Village - online activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safe Connections,Mind Suicide Prevention Team,,www.mindthnr.org.uk/our-services/mental-health-services/safe-connections-community-hub/,,Suicide,Counselling,Mental Health,,All,E3 4DA,,,,,,,,,,,,,,,,,,,,
Safe East,Health and wellbeing service,,www.compass-uk.org,compass.towerhamletsyphws@nhs.net,,Wellness,,"Monday(10am-2pm), Tuesday-Friday(1pm-5pm)",Young people aged 19 and under,"59 Mile End Road, Mile End, London E1 4TT",,,,,,,,,,,,,,,,,,,,
Safeline ,Help line for SA and independent sexual advice supporter ,,www.safeline.org.uk,,Sexual Assault/Rape,Keyworker,Helpline,,All,Online/telephone ,,,,,,,,,,,,,,,,,,,,
Safer London ,"housing, 1-1 support ",,saferlondon.org.uk/,,Housing,1to1,Youth,,"Youth and family of those affected by violence(sexual, exploitation)",-,,,,,,,,,,,,,,,,,,,,
Saferlondon,Support for youths (up to 2 years) facing violence or exploitation,,Parents & Carers - Safer London,info@saferlondon.org.uk,Youth,Mental Health,,,up to age 25,"London, UK",,,,,,,,,,,,,,,,,,,,
SAINT- Lighthouse ,Community wellbeing and activities ,,saint.church/lighthouse/,,Social,Wellness,Group,,All,Shoreditch and Hackney ,,,,,,,,,,,,,,,,,,,,
Salvation Army ,"free choir, baby music groups ",,www.salvationarmy.org.uk/cambridge-heath,,Baby,Fine Arts,Free,,"anyone interested in music, children ",E8 4RT,,,,,,,,,,,,,,,,,,,,
Samaritans ,Helpline,,116 123,,Crisis,Mental Health,Helpline,,All,Phone ,,,,,,,,,,,,,,,,,,,,
Saneline,Helpline for mental health/ families affected ,,0300 304 7000 (4:30pm-10:30pm),,Mental Health,Crisis,Helpline,,All ,Phone,,,,,,,,,,,,,,,,,,,,
SAP Clinic,Jungian Therapy and low cost option,,www.thesap.org.uk/sap-clinic/,,Mental Health,Low Cost,Wellness,,All,-,,,,,,,,,,,,,,,,,,,,
Sarah Agnes foundation ,"Individual, couples, family counselling online and in person ",,www.sarahagnesfoundation.org.uk/,,Counselling,Mental Health,Family,,All ,WC1X 8BP,,,,,,,,,,,,,,,,,,,,
SEN and school exclusions project,free legal advice on special educational needs and school exclusions,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,Education,,,,,,,,,,,,,,,,,,,,,,,,,
SEO london,Prepares university students from disadvantaded backgrounds for careers.,,CAREERS | SEO London, campus@seo-london.org   ,University,Employment,Training,,16+,,,,,,,,,,,,,,,,,,,,,
Shoreditch Trust,Community for equality,,www.shoreditchtrust.org.uk/,,Social,Group,Multi-Purpose,,All,N1 5QJ,,,,,,,,,,,,,,,,,,,,
Short breaks CWD,Short break for CWD and their parents/carers ,,"www.localoffertowerhamlets.co.uk/pages/local-offer/short-break-services#:~:text=What%20is%20a%20Short%20Break,break%20from%20their%20caring%20responsibilities.",,ASD,Child,Parenting,,CWD and their carers ,E1 5NP,,,,,,,,,,,,,,,,,,,,
Sight Support Group,"Group meetings and IT, benefit and welfare advice ",,7943722343,,Blind/Vision,Digital Inclusion,Advice,,Blind/partially sighted people ,IG1 1EA,,,,,,,,,,,,,,,,,,,,
SignHealth,"Psychological therapy, domestic abuse support, Social Care, Advocacy",,Psychological Therapy - SignHealth,,Deaf/Hearing ,Therapy,Disability,,Deaf people,,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Access to a computer,,simplegiftsucsa.org.uk/programmes/,,Digital Inclusion,Practical Help,Advice,11:30-1:30 Thu,All,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Chai and chat (socialising group),,simplegiftsucsa.org.uk/programmes/,,Social,Group,Social Isolation,9:30-11:30 Tue,All,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Community lunch,,simplegiftsucsa.org.uk/programmes/,,Food,Group,Social,3rd Wednesday of the month,All,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Learning English,,simplegiftsucsa.org.uk/programmes/,,ESOL,Courses,Practical Help,10-1 Tue and 10-2:30 Wed,All,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Mindful men: social and gentle exercise group ,,simplegiftsucsa.org.uk/programmes/,,Exercise,Men,Group,Mondays 7-9pm,Older men,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts ,Sewing classes,,simplegiftsucsa.org.uk/programmes/,,Fine Arts,Social,Group,10:30-12:30 Thu,All,E2 6LX,,,,,,,,,,,,,,,,,,,,
Simple Gifts UCSA,Community activities/events ,,simplegiftsucsa.org.uk/,,Social,Group,Social Isolation,,All,London E2 6LX,,,,,,,,,,,,,,,,,,,,
Sister circle,Counselling and Support services,No,https://sistercircle.org.uk/,counselling@sistercircle.org.uk,Women,Health Problems ,,,Women,,,,,,,,,,,,,,,,,,,,,
Social Action For Health,"Free Exercise Group, light lunch, socialise ",,07944 966141,,Exercise,Social,Men,,Men ,E1 5HU ,,,,,,,,,,,,,,,,,,,,
Social action for Health ,Circus skills with good friends,,,info@safh.org.uk,50+,Group,,Monday(11.30am - 1.30pm),Aged over 50,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
Social Action for Health ,"Coffee & Conversation for Black Men, refreshments provided ",,Coffee and Conversation_Club_Pembury Community Centre.pdf  07944 966141,,BAME men,Social,Group,Tuesday 2:00-3:30,Black Men ,E8 1LA ,,,,,,,,,,,,,,,,,,,,
Social action for Health ,Community for recent mums,,07944 966141,,Pregnancy,Social,Group,"Wednesday, 10 am - 12 pm","Pregnant, planning to be pregnant",E1 5QT,,,,,,,,,,,,,,,,,,,,
Social Action for Health ,"Free Financial Wellbeing group, lunch provided ",,Financial Wellbeing Group.pdf   07944 966141,,Parenting,Carer,Finances,11- 2 Friday ,"Parents, carers ",E1 5RB ,,,,,,,,,,,,,,,,,,,,
Social Action For Health - SAFH Good Moves ,Healthy living course (8/12 weeks),,www.safh.org.uk/good-moves,,Healthy eating,Courses,Exercise,,"diabetes, kidney disease, hypertension, and cardiovascular disease",Several (also in Mission Practice),,,,,,,,,,,,,,,,,,,,
Social Streets C.I.C,Arts and Community Centre ,,socialstreets.co/,,Fine Arts,Group,Social,,All?,E3 5LU,,,,,,,,,,,,,,,,,,,,
Somali Women's wellbeing Group ,Drop in breathing and wellness group (all ages) ,,,,Somali,Women,Wellness,"Wednesday,10:00-11:00",Somali Women all age,E2 9QB,,,,,,,,,,,,,,,,,,,,
Sound and Music ,Music composition,,soundandmusic.org/programmes/,,Fine Arts,Youth,adults,,14+ (14-18 yrs have separate project),E2 6HG,,,,,,,,,,,,,,,,,,,,
Soul(Social Organisation For Unity & Leisure),Yoga and Zumba class,No,www.souluk.co.uk,,Free,Women,,10am- 11pm,Women,"Collingwood Community centre, Barnsley street, London, E1 5RB",,,,,,,,,,,,,,,,,,,,
Spear by Resurgo,6 week free programme to support into work/education,,Spear Programme - Resurgo,,Employment,Mental Health,Wellness,,16-25yo,W6 7JP,,,,,,,,,,,,,,,,,,,,
Spiral ,Low cost therapy ,,spiralcentre.org/therapists,,Counselling,Mental Health,Low Cost,,All,Islington ,,,,,,,,,,,,,,,,,,,,
Spitalfields City Farm ,"Volunteering, people with physical/mental health issues, 1-1 support",,,volunteer@spitalfieldscityfarm.org ,Volunteering,Nature,Disability,,,,,,,,,,,,,,,,,,,,,,,
Spitalfields City Farm ,Young Farmers ,,www.spitalfieldscityfarm.org/young-farmers,,Social,Youth,Group,"Saturdays
9:30am-12pm (14-17 years)
1-3pm (11-13 years) ","Young people 11-17  from TH (socialize, learn about animals, build skills) ",E1 5AR ,,,,,,,,,,,,,,,,,,,,
Spitalfields Crypt Trust,"Addiction treatment, housing, training and personal development ",,www.sct.org.uk,,Substance Misuse,Housing,Mental Health,,All,E1 6JN,,,,,,,,,,,,,,,,,,,,
Sport Activity TH timetable,Variety of sports programmes ,,SPA-Weekly-Sessions-Timetable.xlsx (live.com),,Exercise,Group,Social,,Programme dependent,Programme dependent,,,,,,,,,,,,,,,,,,,,
Spotlight,"Youth art space and community projects  - huge range of activities. Playstations, football, creative, cooking",,wearespotlight.com/,,Youth,Group,Social,,11-19 yrs ,E14 6GN,,,,,,,,,,,,,,,,,,,,
Springboard,Employment and education to get into hospitality,,Get support - The Springboard Charity & Springboard UK,,Employment,Education,Advice,,"All, seems focus on young adults",EC2M 4TH (head office),,,,,,,,,,,,,,,,,,,,
St Ethelburga's,Centre for peace and reconciliation. Music events free to migrants / asylum seekers / Refugees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Giles Trust,All support for all disadvantaged ,,www.stgilestrust.org.uk/,,Multi-Purpose,Advice,Learning Disability/Difficulty,,All,SE5 8JB,,,,,,,,,,,,,,,,,,,,
St Hilda's Community,General wellbeing and activities ,,St. Hilda’s East Community Centre,,Wellness,Exercise,Multi-Purpose,,All,E2 7EY,,,,,,,,,,,,,,,,,,,,
St Hilda's East,50+ Men's Social Group,,,lain@sthildas.org.uk,Men,Social,,Thursdays(2-4pm),,"18 Club Row, London E2 7EY",,,,,,,,,,,,,,,,,,,,
St Hilda's East,50+ Yoga,,,jenny.simmonds@sthildas.org.uk,Exercise,50+,Free,Mondays(10.30 - 11.30 am),,"18 Club Row, London E2 7EY",,,,,,,,,,,,,,,,,,,,
St Hilda's Womens Yoga,Womens Yoga ,,sthildas.org.uk/,,Exercise,Wellness,Women,,18+ yrs ,E2 7EY,,,,,,,,,,,,,,,,,,,,
St Joseph's Hospice ,Befriending Service ,,Compassionate Neighbours,,Befriending,End of Life,Free,,Those nearing end of life through age or illness ,hackney based ,,,,,,,,,,,,,,,,,,,,
St Joseph's Hospice Bereavement Social,Bereavement Social Group and Bereavement Support Group. Call first: 02085256031,,bereavement@stjh.org.uk,,Bereavement,Social,Group,,Hackney residents and those died under care of St. Jo,E8 4SA,,,,,,,,,,,,,,,,,,,,
St Margarets House,"Arts, well-being and social space",,www.stmargaretshouse.org.uk/,,Fine Arts,Wellness,Social,,All,E2 9PL,,,,,,,,,,,,,,,,,,,,
St Mary's Secret Garden ,Gardening,,St Mary's Secret Garden – Well-Being Through Therapeutic Gardening (stmaryssecretgarden.org.uk),,Exercise,Wellness,Social,,All ,E2 8EL,,,,,,,,,,,,,,,,,,,,
St. Hilda's East Community Centre,Community projects/groups/activities ,,sthildas.org.uk/,,Group,Multi-Purpose,Social Isolation,,All (specific programmes have specific ages),E2 7EY,,,,,,,,,,,,,,,,,,,,
St. Margaret's House Hilarity Acadamy,,,Hilarity Academy | St. Margaret's House | Creating healthier and happier communities in East London,,Child,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter's Art & Soul,Art activity ,,www.stpetersbethnalgreen.org/art-soul-door-project,,Fine Arts,Group,Social,,All,E2 7AE,,,,,,,,,,,,,,,,,,,,
St. Peter's North Community Centre,Community Centre,,,thch@thch.org.uk,BAME women,50+,Social,,Older Bengali Women ,E2 9AX,,,,,,,,,,,,,,,,,,,,
St. Saviour's (Haggerston) ,Meals for homeless (Tuesday) ,,www.stsaviourspriory.org.uk/,,Food,Homeless,Cost of Living,,All,E2 8NS,,,,,,,,,,,,,,,,,,,,
STAMMA,Events/Societies for stammerers & allies,,STAMMA home page,,Stammer ,Social,Group,,All ,email for details,,,,,,,,,,,,,,,,,,,,
Step Forward ,"Counseling and personal development group for young people(Wellbeing, Sexual Health
, Personal Development, LGBTQ+, Mental Health)",,"Step Forward (Tower Hamlets) | Young People's Charity East London – Free Support Services – Counselling, Wellbeing & Mental Health, LGBTQ | Supporting young people since 1988 (step-forward.org)",,Counselling,Mental Health,LGBTQ+,,11-25 year olds,E2 0AA,,,,,,,,,,,,,,,,,,,,
